Date,ABT 05Y,ABBVINC 05Y,AGN 05Y
21-10-2016,0.00486793,0.006268,0.00364396
24-10-2016,0.00486782,0.00674576,0.00355985
25-10-2016,0.00482124,0.00679385,0.00348687
26-10-2016,0.00482121,0.00682262,0.0034377
27-10-2016,0.00483962,0.00685867,0.00337785
28-10-2016,0.00488355,0.00693075,0.00335341
31-10-2016,0.00482596,0.00697888,0.00332383
01-11-2016,0.00495588,0.0070209,0.00329187
02-11-2016,0.00506033,0.00704489,0.00327841
03-11-2016,0.00507512,0.00706889,0.0032736
04-11-2016,0.00504558,0.00709336,0.00325163
07-11-2016,0.00502973,0.00687724,0.00324805
09-11-2016,0.00501675,0.00678106,0.00324748
10-11-2016,0.00494094,0.00682916,
11-11-2016,0.00492771,0.00682916,0.00324851
14-11-2016,0.00493534,0.00692529,0.00324358
15-11-2016,0.00498528,0.00675699,0.00324009
16-11-2016,0.00507986,0.00681715,0.00323877
17-11-2016,0.00547028,0.0068003,0.00323694
18-11-2016,0.00611004,0.0068905,0.00321756
21-11-2016,0.00641781,0.0068905,0.00361814
22-11-2016,0.00623209,0.0067461,0.00368508
23-11-2016,0.00615274,0.0067461,0.00377438
24-11-2016,0.00617332,0.00674611,0.00381437
25-11-2016,0.00624094,0.00670756,0.0039107
28-11-2016,0.00621182,0.00673768,0.00402184
29-11-2016,0.00561634,0.00673166,0.00404142
30-11-2016,,0.00669552,
01-12-2016,0.00609958,0.00673166,0.00404861
02-12-2016,0.00612042,0.00669552,0.00405052
05-12-2016,0.00635227,0.00664732,0.00404908
06-12-2016,0.00642758,0.00653878,0.0040488
07-12-2016,0.0064383,0.00646636,0.00404967
08-12-2016,0.00646844,0.00650257,0.00404873
09-12-2016,0.0064826,0.00640599,0.00404901
12-12-2016,0.00654348,0.00646587,0.00404969
13-12-2016,0.00649777,0.0064538,0.00404972
14-12-2016,0.00651624,0.00653225,0.00405004
15-12-2016,0.00638496,0.0065021,0.00405179
16-12-2016,0.00637149,0.00651175,0.00405177
19-12-2016,0.00623168,0.0064514,0.00411991
20-12-2016,0.0061997,0.00639706,0.00418504
21-12-2016,0.00613886,0.00638498,0.004214
22-12-2016,0.00614908,0.00663245,0.00427952
23-12-2016,0.00616865,0.00665664,0.00409425
27-12-2016,0.00622146,0.0064433,0.00408251
28-12-2016,0.00623483,0.00643165,0.00386933
29-12-2016,0.00620101,0.00654802,0.00390641
30-12-2016,,0.0060471,0.00395036
03-01-2017,0.00613655,0.00594953,0.00398513
04-01-2017,0.00609037,0.00614501,0.00403802
05-01-2017,0.0061916,0.00591435,0.00408953
06-01-2017,0.00619207,0.00615993,0.00414062
10-01-2017,0.00627198,0.00602198,0.00424159
11-01-2017,0.00627823,0.00627753,0.00429268
12-01-2017,0.00623306,0.00629476,0.00431826
13-01-2017,0.00625248,0.00617332,0.00438154
17-01-2017,0.00631151,0.00602315,0.00448945
18-01-2017,0.00626529,0.00624844,0.00454093
19-01-2017,0.00626558,0.00625327,0.00459498
20-01-2017,0.00626279,0.00640654,0.00466859
24-01-2017,0.00626451,0.00621114,0.00478538
25-01-2017,0.00634108,0.0059486,0.00486329
26-01-2017,0.00630477,0.00604425,0.00492714
27-01-2017,0.00627613,0.00604425,0.00498308
31-01-2017,0.00628853,0.00609468,0.00512654
01-02-2017,0.0062566,0.00629387,0.00518634
02-02-2017,0.00623565,0.00627467,0.00525764
03-02-2017,0.00619555,0.00619018,0.00534055
07-02-2017,0.00607532,0.00575993,0.00547598
08-02-2017,0.00606571,0.00599583,0.00553179
09-02-2017,0.00613296,0.00609613,0.00560838
10-02-2017,0.00617627,0.00600951,0.00567292
14-02-2017,0.00602905,0.00599974,0.00578325
15-02-2017,0.00600803,0.00608593,0.00586053
16-02-2017,0.00586858,0.00611976,0.00608667
17-02-2017,0.00577953,0.00611089,0.00621672
21-02-2017,0.00558996,0.00579959,0.00616769
22-02-2017,0.00561825,0.00556385,0.00622541
23-02-2017,,0.00556419,0.00630366
27-02-2017,0.00558718,0.00555745,0.00642443
28-02-2017,0.00557114,0.00555586,0.00650313
01-03-2017,0.00533014,0.0058187,0.00656759
02-03-2017,0.00532286,0.00552429,0.0064022
03-03-2017,0.00530653,0.00550016,0.00626977
06-03-2017,0.00535556,0.00553932,0.00635157
07-03-2017,0.00539435,0.00544871,0.00641858
08-03-2017,0.00529684,0.00570423,0.00643201
09-03-2017,0.00500993,0.00572909,0.00644032
10-03-2017,0.00518783,0.00566748,0.0064436
13-03-2017,0.00512143,0.00584211,0.00644833
14-03-2017,0.0050469,0.00546577,0.00645217
15-03-2017,0.00486136,0.00528845,0.00645283
16-03-2017,0.00485665,0.00528845,0.00645122
17-03-2017,0.00479629,0.00523116,0.00645375
20-03-2017,0.00528983,0.0059237,0.00534909
21-03-2017,0.00525486,0.00612526,0.00535671
22-03-2017,0.00527404,0.00603975,0.00536067
23-03-2017,0.0053232,0.0060209,0.00536383
24-03-2017,0.00530533,0.00643312,0.00536566
27-03-2017,0.00530519,0.00634956,0.00536797
28-03-2017,0.00526665,0.00631976,0.00478451
29-03-2017,0.0052383,0.00634861,0.00481746
30-03-2017,0.00498594,0.006348,
31-03-2017,0.00493248,0.00581656,0.00484967
03-04-2017,0.00478502,0.00613298,0.00485734
04-04-2017,0.00493896,0.00642505,
05-04-2017,0.00507306,0.00614944,0.00486564
